Year,Sex,Level of studies,Instituțiile unde s-au efectuat plăți,Value
2022,,,Autorități publice locale,
2022,,,Inspectoratele fiscale,
2022,,,Vama,
2022,,,Poliția,
2022,,,Procuratura,
2022,,,Instanțele de judecată,
2022,,,Instituțiile de învățământ,
2022,,,Instituțiile medicale,
2022,,,Oficiile stării civile,
2022,,,Birourile de pașapoarte,
2022,,,Serviciile comunale,
2022,,,Inspecțiile antiincendiare,
2022,,,Birourile notariale,
2022,,,Înregistrarea transportului și calificarea conducătorilor auto,
2022,,,Revizia tehnică a automobilelor,
