Year,Indicatori,Value
2020,Rata activelor lichide în raport cu pasivele pe termen scurt,
2020,Rata poziției valutare deschise nete la fondurile proprii,
2021,,
2021,Rata fondurilor proprii de nivel I în raport cu total active,
2021,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2021,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2021,Ponderea creditelor neperformante în totalul creditelor acordate,
2021,Rentabilitatea activelor,
2021,Rata activelor lichide în raport cu pasivele pe termen scurt,
2021,Rata poziției valutare deschise nete la fondurile proprii,
2022,,
2022,Rata fondurilor proprii de nivel I în raport cu total active,
2022,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2022,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2022,Ponderea creditelor neperformante în totalul creditelor acordate,
2022,Rentabilitatea activelor,
2022,Rata activelor lichide în raport cu pasivele pe termen scurt,
2022,Rata poziției valutare deschise nete la fondurile proprii,
2023,,
2023,Rata fondurilor proprii de nivel I în raport cu total active,13.11
2023,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,29.11
2023,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,7.8
2023,Ponderea creditelor neperformante în totalul creditelor acordate,5.56
2023,Rentabilitatea activelor,3.27
2023,Rata activelor lichide în raport cu pasivele pe termen scurt,289.59
2023,Rata poziției valutare deschise nete la fondurile proprii,1.15
2024,,
2024,Rata fondurilor proprii de nivel I în raport cu total active,12.42
2024,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,25.03
2024,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,6.94
2024,Ponderea creditelor neperformante în totalul creditelor acordate,4.16
2024,Rentabilitatea activelor,2.81
2024,Rata activelor lichide în raport cu pasivele pe termen scurt,296.43
2024,Rata poziției valutare deschise nete la fondurile proprii,0.12
2025,,
2025,Rata fondurilor proprii de nivel I în raport cu total active,11.64
2025,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,22.05
2025,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,9.78
2025,Ponderea creditelor neperformante în totalul creditelor acordate,4.17
2025,Rentabilitatea activelor,3.15
2025,Rata activelor lichide în raport cu pasivele pe termen scurt,225.77
2025,Rata poziției valutare deschise nete la fondurile proprii,0.77
