Year,Capacități ale sectorului de sănătate,Capacitățile sectorului medical (2010-2020),Value
2019,,(11) siguranța alimentelor,70.0
2019,,(12) evenimente  chimice,40.0
2019,,(13) urgențe radionucleare,40.0
2020,,,
2020,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2020,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2020,(3) Finanțare,,
2020,(4) Laboratorul,,
2020,5) Supravegherea,,
2020,(6) Resursele umane,,
2020,(7) Managementul urgențelor de sănătate,,
2020,(8) Asigurarea serviciilor de asistență medicală,,
2020,(9) Profilaxia și controlul infecțiilor,,
2020,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2020,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2020,(12) Evenimente zoonotice,,
2020,(13) Siguranța alimentelor,,
2020,(14) Evenimente  chimice,,
2020,(15) Urgențe radionucleare,,
2020,,"(01) legislația, politicile  și finanțarea națională",73.0
2020,,(02) coordonarea și legătura cu punctele focale  naționale,70.0
2020,,(03) supravegherea,60.0
2020,,(04) răspunsul,80.0
2020,,(05) pregătirea,53.0
2020,,(06) comunicarea  riscurilor,80.0
2020,,(07) resursele umane,40.0
2020,,(08) laboratorul,60.0
2020,,(09) punctele de intrare,60.0
2020,,(10)  evenimente zoonotice,80.0
2020,,(11) siguranța alimentelor,70.0
2020,,(12) evenimente  chimice,40.0
2020,,(13) urgențe radionucleare,40.0
2021,,,
2021,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,70.0
2021,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,80.0
2021,(3) Finanțare,,70.0
2021,(4) Laboratorul,,56.0
2021,5) Supravegherea,,80.0
2021,(6) Resursele umane,,30.0
2021,(7) Managementul urgențelor de sănătate,,73.0
2021,(8) Asigurarea serviciilor de asistență medicală,,73.0
2021,(9) Profilaxia și controlul infecțiilor,,67.0
2021,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,60.0
2021,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,60.0
2021,(12) Evenimente zoonotice,,60.0
2021,(13) Siguranța alimentelor,,40.0
2021,(14) Evenimente  chimice,,40.0
2021,(15) Urgențe radionucleare,,40.0
2021,,"(01) legislația, politicile  și finanțarea națională",
2021,,(02) coordonarea și legătura cu punctele focale  naționale,
2021,,(03) supravegherea,
2021,,(04) răspunsul,
2021,,(05) pregătirea,
2021,,(06) comunicarea  riscurilor,
2021,,(07) resursele umane,
2021,,(08) laboratorul,
2021,,(09) punctele de intrare,
2021,,(10)  evenimente zoonotice,
2021,,(11) siguranța alimentelor,
2021,,(12) evenimente  chimice,
2021,,(13) urgențe radionucleare,
2022,,,
2022,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,60.0
2022,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,73.0
2022,(3) Finanțare,,80.0
2022,(4) Laboratorul,,68.0
2022,5) Supravegherea,,80.0
2022,(6) Resursele umane,,30.0
2022,(7) Managementul urgențelor de sănătate,,60.0
2022,(8) Asigurarea serviciilor de asistență medicală,,67.0
2022,(9) Profilaxia și controlul infecțiilor,,60.0
