Year,Tipuri de resurse,Value
2013,Minerale nemetalice – cu utilizare în construcții dominantă,
2013,Minerale nemetalice,
2013,Petrol brut,
2013,Capturi și produse din recoltă sălbatică,
2013,Lemn,
2014,,10.085
2014,Biomasă,4.902
2014,Cărbune,0.044
2014,Resturi de culturi agricole (reziduuri vegetale),2.62
2014,Culturi agricole,1.485
2014,Ferrous ores,0.054
2014,Combustibili fosili,0.234
2014,Gaze naturale,0.188
2014,Biomasă pășunată și culturi furajere,0.467
2014,Minereuri metalice,0.056
2014,Minereuri neferoase,0.003
2014,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,1.101
2014,Minerale nemetalice – cu utilizare în construcții dominantă,3.178
2014,Minerale nemetalice,4.279
2014,Petrol brut,0.002
2014,Capturi și produse din recoltă sălbatică,0.007
2014,Lemn,0.323
2015,,7.553
2015,Biomasă,3.64
2015,Cărbune,0.051
2015,Resturi de culturi agricole (reziduuri vegetale),1.874
2015,Culturi agricole,1.006
2015,Ferrous ores,0.053
2015,Combustibili fosili,0.236
2015,Gaze naturale,0.184
2015,Biomasă pășunată și culturi furajere,0.44
2015,Minereuri metalice,0.056
2015,Minereuri neferoase,0.003
2015,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.058
2015,Minerale nemetalice – cu utilizare în construcții dominantă,2.923
2015,Minerale nemetalice,2.982
2015,Petrol brut,0.002
2015,Capturi și produse din recoltă sălbatică,0.006
2015,Lemn,0.314
2016,,8.321
2016,Biomasă,4.628
2016,Cărbune,0.031
2016,Resturi de culturi agricole (reziduuri vegetale),2.546
2016,Culturi agricole,1.318
2016,Ferrous ores,0.057
2016,Combustibili fosili,0.225
2016,Gaze naturale,0.192
2016,Biomasă pășunată și culturi furajere,0.434
2016,Minereuri metalice,0.061
2016,Minereuri neferoase,0.004
2016,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.071
2016,Minerale nemetalice – cu utilizare în construcții dominantă,2.676
2016,Minerale nemetalice,2.746
2016,Petrol brut,0.002
2016,Capturi și produse din recoltă sălbatică,0.007
2016,Lemn,0.323
2017,,9.477
2017,Biomasă,5.328
2017,Cărbune,0.063
2017,Resturi de culturi agricole (reziduuri vegetale),3.031
2017,Culturi agricole,1.501
2017,Ferrous ores,0.057
2017,Combustibili fosili,0.259
2017,Gaze naturale,0.194
2017,Biomasă pășunată și culturi furajere,0.47
2017,Minereuri metalice,0.063
2017,Minereuri neferoase,0.007
2017,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.088
2017,Minerale nemetalice – cu utilizare în construcții dominantă,2.913
2017,Minerale nemetalice,3.001
2017,Petrol brut,0.002
2017,Capturi și produse din recoltă sălbatică,0.007
2017,Lemn,0.319
2018,,10.484
2018,Biomasă,5.595
2018,Cărbune,0.046
2018,Resturi de culturi agricole (reziduuri vegetale),3.26
2018,Culturi agricole,1.559
2018,Ferrous ores,0.06
2018,Combustibili fosili,0.262
2018,Gaze naturale,0.215
2018,Biomasă pășunată și culturi furajere,0.447
2018,Minereuri metalice,0.066
2018,Minereuri neferoase,0.006
2018,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.111
2018,Minerale nemetalice – cu utilizare în construcții dominantă,3.586
2018,Minerale nemetalice,3.697
2018,Petrol brut,0.002
2018,Capturi și produse din recoltă sălbatică,0.007
2018,Lemn,0.323
2019,,10.4
2019,Biomasă,5.56
2019,Cărbune,0.047
2019,Resturi de culturi agricole (reziduuri vegetale),3.375
2019,Culturi agricole,1.451
2019,Ferrous ores,0.069
2019,Combustibili fosili,0.248
2019,Gaze naturale,0.2
2019,Biomasă pășunată și culturi furajere,0.399
2019,Minereuri metalice,0.076
2019,Minereuri neferoase,0.006
2019,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.117
2019,Minerale nemetalice – cu utilizare în construcții dominantă,3.526
2019,Minerale nemetalice,3.643
2019,Petrol brut,0.002
2019,Capturi și produse din recoltă sălbatică,0.007
2019,Lemn,0.327
2020,,8.022
2020,Biomasă,3.021
2020,Cărbune,0.043
2020,Resturi de culturi agricole (reziduuri vegetale),1.491
2020,Culturi agricole,0.816
2020,Ferrous ores,0.072
2020,Combustibili fosili,0.248
2020,Gaze naturale,0.204
2020,Biomasă pășunată și culturi furajere,0.375
2020,Minereuri metalice,0.079
2020,Minereuri neferoase,0.007
2020,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.116
2020,Minerale nemetalice – cu utilizare în construcții dominantă,3.703
2020,Minerale nemetalice,3.819
2020,Petrol brut,0.0
2020,Capturi și produse din recoltă sălbatică,0.008
2020,Lemn,0.331
2021,,12.335
2021,Biomasă,7.058
2021,Cărbune,0.044
2021,Resturi de culturi agricole (reziduuri vegetale),4.435
2021,Culturi agricole,1.972
2021,Ferrous ores,0.075
2021,Combustibili fosili,0.252
2021,Gaze naturale,0.207
2021,Biomasă pășunată și culturi furajere,0.311
2021,Minereuri metalice,0.082
2021,Minereuri neferoase,0.007
2021,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.122
2021,Minerale nemetalice – cu utilizare în construcții dominantă,3.933
2021,Minerale nemetalice,4.055
2021,Petrol brut,0.0
2021,Capturi și produse din recoltă sălbatică,0.008
2021,Lemn,0.332
2022,,11.073
2022,Biomasă,6.414
2022,Cărbune,0.039
2022,Resturi de culturi agricole (reziduuri vegetale),4.108
2022,Culturi agricole,1.747
2022,Ferrous ores,0.069
2022,Combustibili fosili,0.218
2022,Gaze naturale,0.179
2022,Biomasă pășunată și culturi furajere,0.266
2022,Minereuri metalice,0.075
2022,Minereuri neferoase,0.006
2022,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.109
2022,Minerale nemetalice – cu utilizare în construcții dominantă,3.47
2022,Minerale nemetalice,3.579
2022,Petrol brut,0.0
2022,Capturi și produse din recoltă sălbatică,0.007
2022,Lemn,0.286
2023,,9.89
2023,Biomasă,5.838
2023,Cărbune,0.035
2023,Resturi de culturi agricole (reziduuri vegetale),3.845
2023,Culturi agricole,1.526
2023,Ferrous ores,0.063
2023,Combustibili fosili,0.19
2023,Gaze naturale,0.155
2023,Biomasă pășunată și culturi furajere,0.222
2023,Minereuri metalice,0.068
2023,Minereuri neferoase,0.005
2023,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,0.096
2023,Minerale nemetalice – cu utilizare în construcții dominantă,3.013
2023,Minerale nemetalice,3.109
2023,Petrol brut,0.0
2023,Capturi și produse din recoltă sălbatică,0.006
2023,Lemn,0.239
