Year,Clase Situații excepționale,Grupa de vârstă,Sex,Raioane,Value
2019,,,,Dubăsari,0.0
2019,,,,Hâncești,0.0
2019,,,,Ialoveni,0.0
2019,,,,Nisporeni,0.0
2019,,,,Orhei,0.0
2019,,,,Rezina,0.0
2019,,,,Strășeni,0.0
2019,,,,Șoldănești,0.0
2019,,,,Telenești,0.0
2019,,,,Ungheni,0.0
2019,,,,Sud,0.0
2019,,,,Basarabeasca,0.0
2019,,,,Cahul,0.0
2019,,,,Cantemir,0.0
2019,,,,Căușeni,0.0
2019,,,,Cimișlia,0.0
2019,,,,Leova,0.0
2019,,,,Ștefan Vodă,0.0
2019,,,,Taraclia,0.0
2019,,,,UTA Găgăuzia,0.0
2020,,,,,0.0
2020,Tehnogen,,,,0.0
2020,Natural (pe genuri),,,,0.0
2020,Biologico-social,,,,0.0
2020,Incendii,,,,0.0
2020,,0-17 ani,,,0.0
2020,,18 ani și peste,,,0.0
2020,,,Bărbați,,0.0
2020,,,Femei,,0.0
2020,,,,Mun. Chișinău,0.0
2020,,,,Nord,0.0
2020,,,,mun. Bălți,0.0
2020,,,,Briceni,0.0
2020,,,,Dondușeni,0.0
2020,,,,Drochia,0.0
2020,,,,Edineț,0.0
2020,,,,Fălești,0.0
2020,,,,Florești,0.0
2020,,,,Glodeni,0.0
2020,,,,Ocnița,0.0
2020,,,,Râșcani,0.0
2020,,,,Sângerei,0.0
2020,,,,Soroca,0.0
2020,,,,Centru,0.0
2020,,,,Anenii Noi,0.0
2020,,,,Călărași,0.0
2020,,,,Criuleni,0.0
2020,,,,Dubăsari,0.0
2020,,,,Hâncești,0.0
2020,,,,Ialoveni,0.0
2020,,,,Nisporeni,0.0
2020,,,,Orhei,0.0
2020,,,,Rezina,0.0
2020,,,,Strășeni,0.0
2020,,,,Șoldănești,0.0
2020,,,,Telenești,0.0
2020,,,,Ungheni,0.0
2020,,,,Sud,0.0
2020,,,,Basarabeasca,0.0
2020,,,,Cahul,0.0
2020,,,,Cantemir,0.0
2020,,,,Căușeni,0.0
2020,,,,Cimișlia,0.0
2020,,,,Leova,0.0
2020,,,,Ștefan Vodă,0.0
2020,,,,Taraclia,0.0
2020,,,,UTA Găgăuzia,0.0
2021,,,,,0.0
2021,Tehnogen,,,,0.0
2021,Natural (pe genuri),,,,0.0
2021,Biologico-social,,,,0.0
2021,Incendii,,,,0.0
2021,,0-17 ani,,,0.0
2021,,18 ani și peste,,,0.0
2021,,,Bărbați,,0.0
2021,,,Femei,,0.0
2021,,,,Mun. Chișinău,0.0
2021,,,,Nord,0.0
2021,,,,mun. Bălți,0.0
2021,,,,Briceni,0.0
2021,,,,Dondușeni,0.0
2021,,,,Drochia,0.0
2021,,,,Edineț,0.0
2021,,,,Fălești,0.0
2021,,,,Florești,0.0
2021,,,,Glodeni,0.0
2021,,,,Ocnița,0.0
2021,,,,Râșcani,0.0
2021,,,,Sângerei,0.0
2021,,,,Soroca,0.0
2021,,,,Centru,0.0
2021,,,,Anenii Noi,0.0
2021,,,,Călărași,0.0
2021,,,,Criuleni,0.0
2021,,,,Dubăsari,0.0
2021,,,,Hâncești,0.0
2021,,,,Ialoveni,0.0
2021,,,,Nisporeni,0.0
2021,,,,Orhei,0.0
2021,,,,Rezina,0.0
2021,,,,Strășeni,0.0
2021,,,,Șoldănești,0.0
2021,,,,Telenești,0.0
2021,,,,Ungheni,0.0
2021,,,,Sud,0.0
2021,,,,Basarabeasca,0.0
2021,,,,Cahul,0.0
2021,,,,Cantemir,0.0
2021,,,,Căușeni,0.0
2021,,,,Cimișlia,0.0
2021,,,,Leova,0.0
2021,,,,Ștefan Vodă,0.0
2021,,,,Taraclia,0.0
2021,,,,UTA Găgăuzia,0.0
2022,,,,,0.0
2022,Tehnogen,,,,0.0
2022,Natural (pe genuri),,,,0.0
2022,Biologico-social,,,,0.0
2022,Incendii,,,,0.0
2022,,0-17 ani,,,0.0
2022,,18 ani și peste,,,0.0
2022,,,Bărbați,,0.0
2022,,,Femei,,0.0
2022,,,,Mun. Chișinău,0.0
2022,,,,Nord,0.0
2022,,,,mun. Bălți,0.0
2022,,,,Briceni,0.0
2022,,,,Dondușeni,0.0
2022,,,,Drochia,0.0
2022,,,,Edineț,0.0
2022,,,,Fălești,0.0
2022,,,,Florești,0.0
2022,,,,Glodeni,0.0
2022,,,,Ocnița,0.0
2022,,,,Râșcani,0.0
2022,,,,Sângerei,0.0
2022,,,,Soroca,0.0
2022,,,,Centru,0.0
2022,,,,Anenii Noi,0.0
2022,,,,Călărași,0.0
2022,,,,Criuleni,0.0
2022,,,,Dubăsari,0.0
2022,,,,Hâncești,0.0
2022,,,,Ialoveni,0.0
2022,,,,Nisporeni,0.0
