Year,Indicators,"Health workers per 10.000 population, in teritorial aspect",Value
2024,Number of nursing and midwifery personnel per 10 000 population,,96.6
2024,Number of dentists per 10 000 population,,6.5
2024,Number of pharmacists per 10 000 population,,4.9
2024,,Total for the country,148.6
2024,,Mun. Chisinau,69.5
2024,,North,86.5
2024,,mun. Balti,59.7
2024,,Briceni,85.9
2024,,Donduseni,90.2
2024,,Drochia,88.3
2024,,Edinet,115.7
2024,,Falesti,69.7
2024,,Floresti,101.7
2024,,Glodeni,89.9
2024,,Ocnita,91.9
2024,,Rascani,91.6
2024,,Sangerei,80.5
2024,,Soroca,100.7
2024,,Centre,76.6
2024,,Anenii Noi,73.5
2024,,Calarasi,84.2
2024,,Criuleni,72.1
2024,,Dubasari,63.2
2024,,Hancesti,73.6
2024,,Ialoveni,58
2024,,Nisporeni,89.5
2024,,Orhei,89.9
2024,,Rezina,86.9
2024,,Straseni,64.4
2024,,Soldanesti,87.1
2024,,Telenesti,79.3
2024,,Ungheni,83.3
2024,,South,90
2024,,Basarabeasca,94.4
2024,,Cahul,102.1
2024,,Cantemir,95.6
2024,,Causeni,86
2024,,Cimislia,87.9
2024,,Leova,84.2
2024,,Stefan Voda,78.5
2024,,Taraclia,82.9
2024,,TAU Gagauzia,108.9
2025,Number of health workers per 10 000 population,,147.2
2025,Physicians per 10 000 population,,51.7
2025,Number of nursing and midwifery personnel per 10 000 population,,95.6
2025,Number of dentists per 10 000 population,,6
2025,Number of pharmacists per 10 000 population,,
2025,,Total for the country,147.2
2025,,Mun. Chisinau,69.6
2025,,North,85.5
2025,,mun. Balti,62.6
2025,,Briceni,84.8
2025,,Donduseni,87.381
2025,,Drochia,85.631
2025,,Edinet,110.707
2025,,Falesti,68.033
2025,,Floresti,101.659
2025,,Glodeni,89.232
2025,,Ocnita,91.273
2025,,Rascani,92.359
2025,,Sangerei,77.999
2025,,Soroca,98.836
2025,,Centre,76.096
2025,,Anenii Noi,75.571
2025,,Calarasi,83.436
2025,,Criuleni,70.634
2025,,Dubasari,64.507
2025,,Hancesti,73.936
2025,,Ialoveni,58.015
2025,,Nisporeni,85.63
2025,,Orhei,86.915
2025,,Rezina,88.645
2025,,Straseni,64.845
2025,,Soldanesti,83.916
2025,,Telenesti,77.771
2025,,Ungheni,84.287
2025,,South,89.933
2025,,Basarabeasca,93.185
2025,,Cahul,102.284
2025,,Cantemir,93.573
2025,,Causeni,86.212
2025,,Cimislia,90.243
2025,,Leova,84.054
2025,,Stefan Voda,76.686
2025,,Taraclia,84.914
2025,,TAU Gagauzia,107.911
