Year,Proportion of female judges to Proportion of women in the working-age population,Proportion of female registrars to Proportion of women in the working-age population,Proportion of young judges aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of young registrars aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of judges with a disability to Proportion of persons with a disability in the working-age population,Proportion of registrars with a disability to Proportion of persons with a disability in the working-age population,Value
2025,,Lower-level courts,,,,,1.738
2025,,Total (across all levels of courts),,,,,1.72
2025,,,Constitutional/ supreme courts,,,,0.6
2025,,,Higher-level courts,,,,0.71
2025,,,Lower-level courts,,,,1.277
2025,,,Total (across all levels of courts),,,,1.146
2025,,,,Constitutional/ supreme courts,,,0.857
2025,,,,Higher-level courts,,,0.78
2025,,,,Lower-level courts,,,0.642
2025,,,,Total (across all levels of courts),,,0.676
2025,,,,,Constitutional/ supreme courts,,0.0
2025,,,,,Higher-level courts,,0.0
2025,,,,,Lower-level courts,,0.0
2025,,,,,Total (across all levels of courts),,0.0
2025,,,,,,Constitutional/ supreme courts,0.0
2025,,,,,,Higher-level courts,0.0
2025,,,,,,Lower-level courts,0.0
2025,,,,,,Total (across all levels of courts),0.0
