Year,Resurse genetice animaliere,Resurse genetice vegetale (mostre),Value
2024,"Iepuri, capete",,
2024,"Păsări, capete",,
2024,"Piscicole (pești), capete",,
2024,"Apicole (albini), familii",,
2024,,Total,
2024,,Corn,1073.0
2024,,Sorghum crops,70.0
2024,,Aromatic and medicinal plants,9.0
2024,,Cereal crops,10800.0
2024,,Leguminous crops for grains,3447.0
2024,,Viticulture,1393.0
2024,,Pomology (Fruit growing),2154.0
2024,,Berry crops,49.0
2024,,Vegetable growing (Vegetable crops),421.0
2024,,Potato,15.0
