Year,Urban,Rural,Men,Women,<30,30-39,40-49,50-59,60-64,65+,I,II,III,IV,V,Value
2018,,,,,,,,,,,,,,,,4.6
2018,Area of residence,,,,,,,,,,,,,,,4.5
2018,,,,,,,,,,,,,,,,4.8
2018,,,Sex of the head of the household,,,,,,,,,,,,,5.8
2018,,,,,,,,,,,,,,,,3.0
2018,,,,,"Age groups of head of household, years",,,,,,,,,,,4.4
2018,,,,,,,,,,,,,,,,5.0
2018,,,,,,,,,,,,,,,,8.3
2018,,,,,,,,,,,,,,,,3.4
2018,,,,,,,,,,,,,,,,1.5
2018,,,,,,,,,,,,,,,,4.6
2018,,,,,,,,,,,Quintiles on consumption expenditures,,,,,11.2
2018,,,,,,,,,,,,,,,,1.8
2018,,,,,,,,,,,,,,,,3.8
2018,,,,,,,,,,,,,,,,5.7
2018,,,,,,,,,,,,,,,,4.1
2019,,,,,,,,,,,,,,,,5.9
2019,Area of residence,,,,,,,,,,,,,,,3.4
2019,,,,,,,,,,,,,,,,8.8
2019,,,Sex of the head of the household,,,,,,,,,,,,,6.0
2019,,,,,,,,,,,,,,,,5.6
2019,,,,,"Age groups of head of household, years",,,,,,,,,,,4.2
2019,,,,,,,,,,,,,,,,5.0
2019,,,,,,,,,,,,,,,,5.9
2019,,,,,,,,,,,,,,,,4.8
2019,,,,,,,,,,,,,,,,6.0
2019,,,,,,,,,,,,,,,,7.8
2019,,,,,,,,,,,Quintiles on consumption expenditures,,,,,10.8
2019,,,,,,,,,,,,,,,,10.2
2019,,,,,,,,,,,,,,,,9.5
2019,,,,,,,,,,,,,,,,6.3
2019,,,,,,,,,,,,,,,,3.4
2020,,,,,,,,,,,,,,,,5.5
2020,Area of residence,,,,,,,,,,,,,,,3.8
2020,,,,,,,,,,,,,,,,7.5
2020,,,Sex of the head of the household,,,,,,,,,,,,,6.5
2020,,,,,,,,,,,,,,,,3.9
2020,,,,,"Age groups of head of household, years",,,,,,,,,,,11.4
2020,,,,,,,,,,,,,,,,8.2
2020,,,,,,,,,,,,,,,,5.3
2020,,,,,,,,,,,,,,,,3.0
2020,,,,,,,,,,,,,,,,3.1
2020,,,,,,,,,,,,,,,,5.7
2020,,,,,,,,,,,Quintiles on consumption expenditures,,,,,10.3
2020,,,,,,,,,,,,,,,,11.7
2020,,,,,,,,,,,,,,,,8.9
2020,,,,,,,,,,,,,,,,5.0
2020,,,,,,,,,,,,,,,,2.8
2021,,,,,,,,,,,,,,,,4.3
2021,Area of residence,,,,,,,,,,,,,,,2.9
2021,,,,,,,,,,,,,,,,6.7
2021,,,Sex of the head of the household,,,,,,,,,,,,,5.3
2021,,,,,,,,,,,,,,,,3.0
2021,,,,,"Age groups of head of household, years",,,,,,,,,,,10.2
2021,,,,,,,,,,,,,,,,5.7
2021,,,,,,,,,,,,,,,,1.1
2021,,,,,,,,,,,,,,,,3.4
2021,,,,,,,,,,,,,,,,3.2
2021,,,,,,,,,,,,,,,,6.7
2021,,,,,,,,,,,Quintiles on consumption expenditures,,,,,3.9
2021,,,,,,,,,,,,,,,,2.7
2021,,,,,,,,,,,,,,,,6.4
2021,,,,,,,,,,,,,,,,5.7
2021,,,,,,,,,,,,,,,,2.7
2022,,,,,,,,,,,,,,,,
2022,Area of residence,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,Sex of the head of the household,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,"Age groups of head of household, years",,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,Quintiles on consumption expenditures,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,
