Year,Sex,Nivel de instruire,Instituțiile unde s-au efectuat plăți,Value
2019,,Mediu de specialitate,,
2019,,Superior,,
2019,,,Inspectoratele fiscale,
2019,,,Vama,
2019,,,Poliția,
2019,,,Procuratura,
2019,,,Inspecțiile sanitar-epidemiologice,
2019,,,Birourile/serviciile cadastrale,
2019,,,Instanțele de judecată,
2019,,,Achizițiile publice,
2019,,,Înregistrarea transportului și eliberarea permisului de conducere,
2019,,,Revizia tehnică a automobilelor,
2019,,,Eliberarea autorizațiilor de construcție,
2019,,,Inspecția muncii,
2020,,,,
2020,Bărbați,,,
2020,Femei,,,
2020,,Secundare,,
2020,,Mediu de specialitate,,
2020,,Superior,,
2020,,,Inspectoratele fiscale,
2020,,,Vama,
2020,,,Poliția,
2020,,,Procuratura,
2020,,,Inspecțiile sanitar-epidemiologice,
2020,,,Birourile/serviciile cadastrale,
2020,,,Instanțele de judecată,
2020,,,Achizițiile publice,
2020,,,Înregistrarea transportului și eliberarea permisului de conducere,
2020,,,Revizia tehnică a automobilelor,
2020,,,Eliberarea autorizațiilor de construcție,
2020,,,Inspecția muncii,
2021,,,,
2021,Bărbați,,,
2021,Femei,,,
2021,,Secundare,,
2021,,Mediu de specialitate,,
2021,,Superior,,
2021,,,Inspectoratele fiscale,
2021,,,Vama,
2021,,,Poliția,
2021,,,Procuratura,
2021,,,Inspecțiile sanitar-epidemiologice,
2021,,,Birourile/serviciile cadastrale,
2021,,,Instanțele de judecată,
2021,,,Achizițiile publice,
2021,,,Înregistrarea transportului și eliberarea permisului de conducere,
2021,,,Revizia tehnică a automobilelor,
2021,,,Eliberarea autorizațiilor de construcție,
2021,,,Inspecția muncii,
2022,,,,
2022,Bărbați,,,
2022,Femei,,,
2022,,Secundare,,
2022,,Mediu de specialitate,,
2022,,Superior,,
2022,,,Inspectoratele fiscale,
2022,,,Vama,
2022,,,Poliția,
2022,,,Procuratura,
2022,,,Inspecțiile sanitar-epidemiologice,
2022,,,Birourile/serviciile cadastrale,
2022,,,Instanțele de judecată,
2022,,,Achizițiile publice,
2022,,,Înregistrarea transportului și eliberarea permisului de conducere,
2022,,,Revizia tehnică a automobilelor,
2022,,,Eliberarea autorizațiilor de construcție,
2022,,,Inspecția muncii,
