Year,"Accidente mortale, după sex","Accidente mortale, după activități economice","Accidente nemortale, după sex","Accidente nemortale, după activități economice",Value
2018,,,,"Activități profesionale, științifice și tehnice",38.9
2018,,,,Activitati de servicii administrative si activitati de servicii suport,70.6
2018,,,,Administratțe publică și apărare; asigurări sociale obligatorii,261.0
2018,,,,Învățământ,13.6
2018,,,,Sănătate și asistență socială,82.8
2018,,,,"Arta, activități de recreere și de agrement",32.8
2018,,,,Alte activități de servicii,19.2
2019,,,,,
2019,Total,,,,5.8
2019,Bărbați,,,,11.4
2019,Femei,,,,0.6
2019,,"Agricultura, silvicultura și pescuit",,,16.5
2019,,Industrie,,,5.4
2019,,Industria extractivă,,,48.0
2019,,Industria prelucrătoare,,,5.5
2019,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2019,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2019,,Construcții,,,44.7
2019,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,4.8
2019,,Transport și depozitare,,,10.9
2019,,Activitati de cazare si alimentatie publica,,,0.0
2019,,Informații și comunicații,,,4.6
2019,,Activități financiare și de asigurări,,,0.0
2019,,Tranzacții imobiliare,,,0.0
2019,,"Activități profesionale, științifice și tehnice",,,7.2
2019,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2019,,Administratțe publică și apărare; asigurări sociale obligatorii,,,0.0
2019,,Învățământ,,,0.0
2019,,Sănătate și asistență socială,,,3.3
2019,,"Arta, activități de recreere și de agrement",,,0.0
2019,,Alte activități de servicii,,,0.0
2019,,,Total,,73.1
2019,,,Bărbați,,105.6
2019,,,Femei,,43.4
2019,,,,"Agricultura, silvicultura și pescuit",65.9
2019,,,,Industrie,94.3
2019,,,,Industria extractivă,48.0
2019,,,,Industria prelucrătoare,78.1
2019,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",170.7
2019,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",191.4
2019,,,,Construcții,129.9
2019,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,61.3
2019,,,,Transport și depozitare,98.4
2019,,,,Activitati de cazare si alimentatie publica,27.6
2019,,,,Informații și comunicații,37.1
2019,,,,Activități financiare și de asigurări,15.6
2019,,,,Tranzacții imobiliare,41.7
2019,,,,"Activități profesionale, științifice și tehnice",14.4
2019,,,,Activitati de servicii administrative si activitati de servicii suport,90.5
2019,,,,Administratțe publică și apărare; asigurări sociale obligatorii,226.0
2019,,,,Învățământ,11.5
2019,,,,Sănătate și asistență socială,58.0
2019,,,,"Arta, activități de recreere și de agrement",24.3
2019,,,,Alte activități de servicii,46.2
2020,,,,,
2020,Total,,,,5.2
2020,Bărbați,,,,10.9
2020,Femei,,,,0.0
2020,,"Agricultura, silvicultura și pescuit",,,11.7
2020,,Industrie,,,8.5
2020,,Industria extractivă,,,0.0
2020,,Industria prelucrătoare,,,10.5
2020,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2020,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2020,,Construcții,,,12.4
2020,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,1.0
2020,,Transport și depozitare,,,26.4
2020,,Activitati de cazare si alimentatie publica,,,0.0
2020,,Informații și comunicații,,,4.2
2020,,Activități financiare și de asigurări,,,0.0
2020,,Tranzacții imobiliare,,,0.0
2020,,"Activități profesionale, științifice și tehnice",,,0.0
2020,,Activitati de servicii administrative si activitati de servicii suport,,,0.0
2020,,Administratțe publică și apărare; asigurări sociale obligatorii,,,6.1
2020,,Învățământ,,,1.1
2020,,Sănătate și asistență socială,,,0.0
2020,,"Arta, activități de recreere și de agrement",,,0.0
2020,,Alte activități de servicii,,,0.0
2020,,,Total,,64.5
2020,,,Bărbați,,92.1
2020,,,Femei,,39.5
2020,,,,"Agricultura, silvicultura și pescuit",32.2
2020,,,,Industrie,96.2
2020,,,,Industria extractivă,153.1
2020,,,,Industria prelucrătoare,90.9
2020,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",47.7
2020,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",206.1
2020,,,,Construcții,141.1
2020,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,48.4
2020,,,,Transport și depozitare,70.3
2020,,,,Activitati de cazare si alimentatie publica,41.3
2020,,,,Informații și comunicații,33.7
2020,,,,Activități financiare și de asigurări,7.8
2020,,,,Tranzacții imobiliare,17.0
2020,,,,"Activități profesionale, științifice și tehnice",15.3
2020,,,,Activitati de servicii administrative si activitati de servicii suport,170.0
2020,,,,Administratțe publică și apărare; asigurări sociale obligatorii,174.4
2020,,,,Învățământ,19.3
2020,,,,Sănătate și asistență socială,43.1
2020,,,,"Arta, activități de recreere și de agrement",16.9
2020,,,,Alte activități de servicii,0.0
2021,,,,,
2021,Total,,,,4.8
2021,Bărbați,,,,10.1
2021,Femei,,,,0.0
2021,,"Agricultura, silvicultura și pescuit",,,23.2
2021,,Industrie,,,1.9
2021,,Industria extractivă,,,0.0
2021,,Industria prelucrătoare,,,1.2
2021,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2021,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,12.5
2021,,Construcții,,,27.2
2021,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,2.8
2021,,Transport și depozitare,,,8.6
2021,,Activitati de cazare si alimentatie publica,,,0.0
2021,,Informații și comunicații,,,0.0
2021,,Activități financiare și de asigurări,,,0.0
2021,,Tranzacții imobiliare,,,9.1
2021,,"Activități profesionale, științifice și tehnice",,,0.0
2021,,Activitati de servicii administrative si activitati de servicii suport,,,8.0
2021,,Administratțe publică și apărare; asigurări sociale obligatorii,,,6.0
2021,,Învățământ,,,0.0
2021,,Sănătate și asistență socială,,,0.0
2021,,"Arta, activități de recreere și de agrement",,,8.5
2021,,Alte activități de servicii,,,16.9
2021,,,Total,,84.0
2021,,,Bărbați,,111.9
2021,,,Femei,,58.7
2021,,,,"Agricultura, silvicultura și pescuit",46.4
2021,,,,Industrie,133.5
2021,,,,Industria extractivă,54.7
2021,,,,Industria prelucrătoare,127.7
2021,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",153.5
2021,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",187.4
2021,,,,Construcții,178.7
2021,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,72.5
2021,,,,Transport și depozitare,122.8
2021,,,,Activitati de cazare si alimentatie publica,65.0
2021,,,,Informații și comunicații,25.5
2021,,,,Activități financiare și de asigurări,30.2
2021,,,,Tranzacții imobiliare,90.6
2021,,,,"Activități profesionale, științifice și tehnice",44.9
2021,,,,Activitati de servicii administrative si activitati de servicii suport,96.6
2021,,,,Administratțe publică și apărare; asigurări sociale obligatorii,126.2
2021,,,,Învățământ,27.9
2021,,,,Sănătate și asistență socială,88.9
2021,,,,"Arta, activități de recreere și de agrement",42.4
2021,,,,Alte activități de servicii,16.9
2022,,,,,
2022,Total,,,,
2022,Bărbați,,,,
2022,Femei,,,,
2022,,"Agricultura, silvicultura și pescuit",,,
2022,,Industrie,,,
2022,,Industria extractivă,,,
2022,,Industria prelucrătoare,,,
2022,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2022,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2022,,Construcții,,,
2022,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2022,,Transport și depozitare,,,
