Year,Sex,Grupa de vârstă,Disease Group,Value
2024,,0-14,,36.08
2024,,15-24,,10.82
2024,,25-34,,4.63
2024,,35-44,,6.65
2024,,45-54,,17.57
2024,,16-55,,9.82
2024,,56+,,62.22
2024,,,Circulatory system diseases,
2024,,,including hypertensive disease,
2024,,,"Endocrine, nutritional and metabolic diseases",
2024,,,including diabetes mellitus,
2024,,,Respiratory system diseases,
2024,,,Musculoskeletal system and connective tissue diseases,
2024,,,Influencing factors of the health status and reasons for seeking health services,
2024,,,including prophylaxis of rickets and anemia in children,
2024,,,Digestive system diseases ,
2024,,,Diseases of the eye and its adnexa,
2024,,,Genitourinary system diseases,
2024,,,Mental and behavioral disorders,
2024,,,Nervous system diseases,
2025,,,,30.61
2025,Bărbați,,,25.62
2025,Femei,,,34.92
2025,,0-14,,33.24
2025,,15-24,,9.62
2025,,25-34,,5.25
2025,,35-44,,7.53
2025,,45-54,,20.44
2025,,16-55,,12.95
2025,,56+,,44.07
2025,,,Circulatory system diseases,20.57
2025,,,including hypertensive disease,20.32
2025,,,"Endocrine, nutritional and metabolic diseases",11.93
2025,,,including diabetes mellitus,5.7
2025,,,Respiratory system diseases,6.75
2025,,,Musculoskeletal system and connective tissue diseases,1.28
2025,,,Influencing factors of the health status and reasons for seeking health services,1.2
2025,,,including prophylaxis of rickets and anemia in children,0.76
2025,,,Digestive system diseases ,0.83
2025,,,Diseases of the eye and its adnexa,0.69
2025,,,Genitourinary system diseases,0.69
2025,,,Mental and behavioral disorders,0.67
2025,,,Nervous system diseases,0.67
