Year,Sex,Age group,Districts,Value
2018,,,Falesti,5.8
2018,,,Floresti,7.4
2018,,,Glodeni,5.2
2018,,,Ocnita,6.8
2018,,,Rascani,6.7
2018,,,Sangerei,8.3
2018,,,Soroca,8.7
2018,,,Centre,
2018,,,Anenii Noi,6.3
2018,,,Calarasi,8.5
2018,,,Criuleni,6.2
2018,,,Dubasari,8.2
2018,,,Hancesti,6.0
2018,,,Ialoveni,5.6
2018,,,Nisporeni,6.5
2018,,,Orhei,7.1
2018,,,Rezina,9.9
2018,,,Straseni,7.3
2018,,,Soldanesti,17.8
2018,,,Telenesti,9.8
2018,,,Ungheni,6.2
2018,,,South,
2018,,,Basarabeasca,7.8
2018,,,Cahul,5.4
2018,,,Cantemir,6.4
2018,,,Causeni,4.9
2018,,,Cimislia,6.4
2018,,,Leova,5.7
2018,,,Stefan Voda,6.3
2018,,,Taraclia,8.3
2018,,,UTA Gagauzia,9.7
2019,,,,6.7
2019,Men,,,7.4
2019,Women,,,6.1
2019,,15-24,,5.6
2019,,25-34,,3.7
2019,,35-44,,5.7
2019,,45-54,,10.9
2019,,55+,,11.6
2019,,,Mun. Chisinau,4.3
2019,,,North,
2019,,,mun. Balti,7.1
2019,,,Briceni,8.0
2019,,,Donduseni,7.1
2019,,,Drochia,7.1
2019,,,Edinet,9.3
2019,,,Falesti,6.1
2019,,,Floresti,7.6
2019,,,Glodeni,5.5
2019,,,Ocnita,7.2
2019,,,Rascani,6.9
2019,,,Sangerei,8.6
2019,,,Soroca,9.0
2019,,,Centre,
2019,,,Anenii Noi,6.7
2019,,,Calarasi,8.8
2019,,,Criuleni,6.4
2019,,,Dubasari,8.4
2019,,,Hancesti,6.3
2019,,,Ialoveni,5.8
2019,,,Nisporeni,6.8
2019,,,Orhei,7.4
2019,,,Rezina,9.9
2019,,,Straseni,7.4
2019,,,Soldanesti,17.7
2019,,,Telenesti,10.2
2019,,,Ungheni,6.5
2019,,,South,
2019,,,Basarabeasca,8.3
2019,,,Cahul,5.6
2019,,,Cantemir,6.6
2019,,,Causeni,5.2
2019,,,Cimislia,6.7
2019,,,Leova,5.9
2019,,,Stefan Voda,6.5
2019,,,Taraclia,8.3
2019,,,UTA Gagauzia,9.6
2020,,,,6.6
2020,Men,,,7.3
2020,Women,,,6.0
2020,,15-24,,5.6
2020,,25-34,,3.7
2020,,35-44,,5.5
2020,,45-54,,10.5
2020,,55+,,11.6
2020,,,Mun. Chisinau,4.2
2020,,,North,
2020,,,mun. Balti,7.0
2020,,,Briceni,7.9
2020,,,Donduseni,7.2
2020,,,Drochia,7.1
2020,,,Edinet,9.3
2020,,,Falesti,6.1
2020,,,Floresti,7.6
2020,,,Glodeni,5.7
2020,,,Ocnita,7.2
2020,,,Rascani,7.0
2020,,,Sangerei,8.7
2020,,,Soroca,8.9
2020,,,Centre,
2020,,,Anenii Noi,6.8
2020,,,Calarasi,8.9
2020,,,Criuleni,6.4
2020,,,Dubasari,8.3
2020,,,Hancesti,6.3
2020,,,Ialoveni,5.8
2020,,,Nisporeni,6.9
2020,,,Orhei,7.4
2020,,,Rezina,9.9
2020,,,Straseni,7.4
2020,,,Soldanesti,17.6
2020,,,Telenesti,9.9
2020,,,Ungheni,6.6
2020,,,South,
2020,,,Basarabeasca,8.4
2020,,,Cahul,5.6
2020,,,Cantemir,6.8
2020,,,Causeni,5.3
2020,,,Cimislia,6.5
2020,,,Leova,5.8
2020,,,Stefan Voda,6.5
2020,,,Taraclia,8.1
2020,,,UTA Gagauzia,9.3
2021,,,,6.5
2021,Men,,,7.1
2021,Women,,,5.8
2021,,15-24,,5.7
2021,,25-34,,3.6
2021,,35-44,,5.3
2021,,45-54,,10.0
2021,,55+,,11.1
2021,,,Mun. Chisinau,4.0
2021,,,North,
2021,,,mun. Balti,6.7
2021,,,Briceni,7.7
2021,,,Donduseni,7.0
2021,,,Drochia,6.9
2021,,,Edinet,9.2
2021,,,Falesti,6.1
2021,,,Floresti,7.3
2021,,,Glodeni,5.6
2021,,,Ocnita,7.0
2021,,,Rascani,6.7
2021,,,Sangerei,8.5
2021,,,Soroca,8.6
2021,,,Centre,
2021,,,Anenii Noi,6.7
2021,,,Calarasi,8.7
2021,,,Criuleni,6.3
2021,,,Dubasari,8.4
2021,,,Hancesti,6.1
2021,,,Ialoveni,5.8
2021,,,Nisporeni,6.9
2021,,,Orhei,7.3
2021,,,Rezina,9.4
2021,,,Straseni,7.2
2021,,,Soldanesti,17.1
2021,,,Telenesti,10.1
2021,,,Ungheni,6.6
2021,,,South,
2021,,,Basarabeasca,8.1
2021,,,Cahul,5.5
2021,,,Cantemir,6.5
2021,,,Causeni,5.2
2021,,,Cimislia,6.4
2021,,,Leova,5.9
2021,,,Stefan Voda,6.5
2021,,,Taraclia,7.5
2021,,,UTA Gagauzia,8.9
2022,,,,6.2
2022,Men,,,6.9
2022,Women,,,5.6
2022,,15-24,,5.9
2022,,25-34,,3.4
2022,,35-44,,5.4
2022,,45-54,,9.8
2022,,55+,,10.4
2022,,,Mun. Chisinau,4.0
2022,,,North,
2022,,,mun. Balti,6.4
2022,,,Briceni,7.2
2022,,,Donduseni,6.3
2022,,,Drochia,6.6
2022,,,Edinet,8.7
2022,,,Falesti,6.0
2022,,,Floresti,7.1
2022,,,Glodeni,5.5
2022,,,Ocnita,6.9
2022,,,Rascani,6.4
2022,,,Sangerei,8.3
2022,,,Soroca,7.9
2022,,,Centre,
2022,,,Anenii Noi,6.5
2022,,,Calarasi,8.3
2022,,,Criuleni,6.0
2022,,,Dubasari,8.0
2022,,,Hancesti,6.1
2022,,,Ialoveni,5.7
2022,,,Nisporeni,6.8
2022,,,Orhei,7.1
2022,,,Rezina,9.0
2022,,,Straseni,7.1
2022,,,Soldanesti,16.0
2022,,,Telenesti,9.7
2022,,,Ungheni,6.4
2022,,,South,
2022,,,Basarabeasca,8.0
2022,,,Cahul,5.4
2022,,,Cantemir,6.3
2022,,,Causeni,5.1
2022,,,Cimislia,6.1
2022,,,Leova,5.8
2022,,,Stefan Voda,6.1
2022,,,Taraclia,6.9
2022,,,UTA Gagauzia,8.4
