Year,Area of residence,Educational level,Wealth quintiles ,Age group,Occupational status,Marital status,Value
2020,,,,,Retiree,,79.3
2020,,,,,Unemployed,,80.3
2020,,,,,Other status,,73.1
2020,,,,,,Married,74.3
2020,,,,,,Cohabiting,69.0
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Primary,,,,,
2021,,Lower secondary,,,,,
2021,,General secondary,,,,,
2021,,Vocational secondary,,,,,
2021,,Post-secondary vocational,,,,,
2021,,Higher,,,,,
2021,,,I,,,,
2021,,,II,,,,
2021,,,III,,,,
2021,,,IV,,,,
2021,,,V,,,,
2021,,,,15-19,,,
2021,,,,20-24,,,
2021,,,,25-29,,,
2021,,,,30-34,,,
2021,,,,35-39,,,
2021,,,,40-44,,,
2021,,,,45-49,,,
2021,,,,,Employed,,
2021,,,,,Self-employed ,,
2021,,,,,Retiree,,
2021,,,,,Unemployed,,
2021,,,,,Other status,,
2021,,,,,,Married,
2021,,,,,,Cohabiting,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Primary,,,,,
2022,,Lower secondary,,,,,
2022,,General secondary,,,,,
2022,,Vocational secondary,,,,,
2022,,Post-secondary vocational,,,,,
2022,,Higher,,,,,
2022,,,I,,,,
2022,,,II,,,,
2022,,,III,,,,
2022,,,IV,,,,
2022,,,V,,,,
2022,,,,15-19,,,
2022,,,,20-24,,,
2022,,,,25-29,,,
2022,,,,30-34,,,
2022,,,,35-39,,,
2022,,,,40-44,,,
2022,,,,45-49,,,
2022,,,,,Employed,,
2022,,,,,Self-employed ,,
2022,,,,,Retiree,,
2022,,,,,Unemployed,,
2022,,,,,Other status,,
2022,,,,,,Married,
2022,,,,,,Cohabiting,
2023,,,,,,,
2023,Urban,,,,,,
2023,Rural,,,,,,
2023,,Primary,,,,,
2023,,Lower secondary,,,,,
2023,,General secondary,,,,,
2023,,Vocational secondary,,,,,
2023,,Post-secondary vocational,,,,,
2023,,Higher,,,,,
2023,,,I,,,,
2023,,,II,,,,
2023,,,III,,,,
2023,,,IV,,,,
2023,,,V,,,,
2023,,,,15-19,,,
2023,,,,20-24,,,
2023,,,,25-29,,,
2023,,,,30-34,,,
2023,,,,35-39,,,
2023,,,,40-44,,,
2023,,,,45-49,,,
2023,,,,,Employed,,
2023,,,,,Self-employed ,,
2023,,,,,Retiree,,
2023,,,,,Unemployed,,
2023,,,,,Other status,,
2023,,,,,,Married,
2023,,,,,,Cohabiting,
2024,,,,,,,
2024,Urban,,,,,,
2024,Rural,,,,,,
2024,,Primary,,,,,
2024,,Lower secondary,,,,,
2024,,General secondary,,,,,
2024,,Vocational secondary,,,,,
2024,,Post-secondary vocational,,,,,
2024,,Higher,,,,,
2024,,,I,,,,
2024,,,II,,,,
2024,,,III,,,,
2024,,,IV,,,,
2024,,,V,,,,
2024,,,,15-19,,,
2024,,,,20-24,,,
2024,,,,25-29,,,
2024,,,,30-34,,,
2024,,,,35-39,,,
2024,,,,40-44,,,
2024,,,,45-49,,,
2024,,,,,Employed,,
2024,,,,,Self-employed ,,
2024,,,,,Retiree,,
2024,,,,,Unemployed,,
2024,,,,,Other status,,
2024,,,,,,Married,
2024,,,,,,Cohabiting,
