Year,Classes of disasters,Age group,Sex,Districts,Value
2017,,,,Basarabeasca,0.0
2017,,,,Cahul,0.0
2017,,,,Cantemir,0.0
2017,,,,Causeni,0.0
2017,,,,Cimislia,0.0
2017,,,,Leova,0.0
2017,,,,Stefan Voda,0.0
2017,,,,Taraclia,0.0
2017,,,,ATU Gagauzia,0.0
2018,,,,,0.0
2018,Technogenic,,,,0.0
2018,Natural  (by genres),,,,0.0
2018,Social and biological,,,,0.0
2018,Fires,,,,0.0
2018,,0-17 years,,,0.0
2018,,18 years and over,,,0.0
2018,,,Men,,0.0
2018,,,Women,,0.0
2018,,,,Mun. Chisinau,0.0
2018,,,,North,0.0
2018,,,,mun. Balti,0.0
2018,,,,Briceni,0.0
2018,,,,Donduseni,0.0
2018,,,,Drochia,0.0
2018,,,,Edinet,0.0
2018,,,,Falesti,0.0
2018,,,,Floresti,0.0
2018,,,,Glodeni,0.0
2018,,,,Ocnita,0.0
2018,,,,Rascani,0.0
2018,,,,Sangerei,0.0
2018,,,,Soroca,0.0
2018,,,,Centre,0.0
2018,,,,Anenii Noi,0.0
2018,,,,Calarasi,0.0
2018,,,,Criuleni,0.0
2018,,,,Dubasari,0.0
2018,,,,Hancesti,0.0
2018,,,,Ialoveni,0.0
2018,,,,Nisporeni,0.0
2018,,,,Orhei,0.0
2018,,,,Rezina,0.0
2018,,,,Straseni,0.0
2018,,,,Soldanesti,0.0
2018,,,,Telenesti,0.0
2018,,,,Ungheni,0.0
2018,,,,South,0.0
2018,,,,Basarabeasca,0.0
2018,,,,Cahul,0.0
2018,,,,Cantemir,0.0
2018,,,,Causeni,0.0
2018,,,,Cimislia,0.0
2018,,,,Leova,0.0
2018,,,,Stefan Voda,0.0
2018,,,,Taraclia,0.0
2018,,,,ATU Gagauzia,0.0
2019,,,,,0.0
2019,Technogenic,,,,0.0
2019,Natural  (by genres),,,,0.0
2019,Social and biological,,,,0.0
2019,Fires,,,,0.0
2019,,0-17 years,,,0.0
2019,,18 years and over,,,0.0
2019,,,Men,,0.0
2019,,,Women,,0.0
2019,,,,Mun. Chisinau,0.0
2019,,,,North,0.0
2019,,,,mun. Balti,0.0
2019,,,,Briceni,0.0
2019,,,,Donduseni,0.0
2019,,,,Drochia,0.0
2019,,,,Edinet,0.0
2019,,,,Falesti,0.0
2019,,,,Floresti,0.0
2019,,,,Glodeni,0.0
2019,,,,Ocnita,0.0
2019,,,,Rascani,0.0
2019,,,,Sangerei,0.0
2019,,,,Soroca,0.0
2019,,,,Centre,0.0
2019,,,,Anenii Noi,0.0
2019,,,,Calarasi,0.0
2019,,,,Criuleni,0.0
2019,,,,Dubasari,0.0
2019,,,,Hancesti,0.0
2019,,,,Ialoveni,0.0
2019,,,,Nisporeni,0.0
2019,,,,Orhei,0.0
2019,,,,Rezina,0.0
2019,,,,Straseni,0.0
2019,,,,Soldanesti,0.0
2019,,,,Telenesti,0.0
2019,,,,Ungheni,0.0
2019,,,,South,0.0
2019,,,,Basarabeasca,0.0
2019,,,,Cahul,0.0
2019,,,,Cantemir,0.0
2019,,,,Causeni,0.0
2019,,,,Cimislia,0.0
2019,,,,Leova,0.0
2019,,,,Stefan Voda,0.0
2019,,,,Taraclia,0.0
2019,,,,ATU Gagauzia,0.0
2020,,,,,0.0
2020,Technogenic,,,,0.0
2020,Natural  (by genres),,,,0.0
2020,Social and biological,,,,0.0
2020,Fires,,,,0.0
2020,,0-17 years,,,0.0
2020,,18 years and over,,,0.0
2020,,,Men,,0.0
2020,,,Women,,0.0
2020,,,,Mun. Chisinau,0.0
2020,,,,North,0.0
2020,,,,mun. Balti,0.0
2020,,,,Briceni,0.0
2020,,,,Donduseni,0.0
2020,,,,Drochia,0.0
2020,,,,Edinet,0.0
2020,,,,Falesti,0.0
2020,,,,Floresti,0.0
2020,,,,Glodeni,0.0
2020,,,,Ocnita,0.0
2020,,,,Rascani,0.0
2020,,,,Sangerei,0.0
2020,,,,Soroca,0.0
2020,,,,Centre,0.0
2020,,,,Anenii Noi,0.0
2020,,,,Calarasi,0.0
2020,,,,Criuleni,0.0
2020,,,,Dubasari,0.0
2020,,,,Hancesti,0.0
2020,,,,Ialoveni,0.0
2020,,,,Nisporeni,0.0
2020,,,,Orhei,0.0
2020,,,,Rezina,0.0
2020,,,,Straseni,0.0
2020,,,,Soldanesti,0.0
2020,,,,Telenesti,0.0
2020,,,,Ungheni,0.0
2020,,,,South,0.0
2020,,,,Basarabeasca,0.0
2020,,,,Cahul,0.0
2020,,,,Cantemir,0.0
2020,,,,Causeni,0.0
2020,,,,Cimislia,0.0
2020,,,,Leova,0.0
2020,,,,Stefan Voda,0.0
2020,,,,Taraclia,0.0
2020,,,,ATU Gagauzia,0.0
2021,,,,,0.0
2021,Technogenic,,,,0.0
2021,Natural  (by genres),,,,0.0
2021,Social and biological,,,,0.0
2021,Fires,,,,0.0
2021,,0-17 years,,,0.0
2021,,18 years and over,,,0.0
2021,,,Men,,0.0
2021,,,Women,,0.0
2021,,,,Mun. Chisinau,0.0
2021,,,,North,0.0
2021,,,,mun. Balti,0.0
2021,,,,Briceni,0.0
2021,,,,Donduseni,0.0
2021,,,,Drochia,0.0
2021,,,,Edinet,0.0
2021,,,,Falesti,0.0
2021,,,,Floresti,0.0
2021,,,,Glodeni,0.0
2021,,,,Ocnita,0.0
2021,,,,Rascani,0.0
2021,,,,Sangerei,0.0
2021,,,,Soroca,0.0
2021,,,,Centre,0.0
2021,,,,Anenii Noi,0.0
2021,,,,Calarasi,0.0
2021,,,,Criuleni,0.0
2021,,,,Dubasari,0.0
2021,,,,Hancesti,0.0
2021,,,,Ialoveni,0.0
2021,,,,Nisporeni,0.0
2021,,,,Orhei,0.0
2021,,,,Rezina,0.0
2021,,,,Straseni,0.0
2021,,,,Soldanesti,0.0
2021,,,,Telenesti,0.0
2021,,,,Ungheni,0.0
2021,,,,South,0.0
2021,,,,Basarabeasca,0.0
2021,,,,Cahul,0.0
2021,,,,Cantemir,0.0
2021,,,,Causeni,0.0
2021,,,,Cimislia,0.0
2021,,,,Leova,0.0
2021,,,,Stefan Voda,0.0
2021,,,,Taraclia,0.0
2021,,,,ATU Gagauzia,0.0
2022,,,,,0.0
2022,Technogenic,,,,0.0
2022,Natural  (by genres),,,,0.0
2022,Social and biological,,,,0.0
2022,Fires,,,,0.0
2022,,0-17 years,,,0.0
2022,,18 years and over,,,0.0
2022,,,Men,,0.0
2022,,,Women,,0.0
2022,,,,Mun. Chisinau,0.0
2022,,,,North,0.0
2022,,,,mun. Balti,0.0
2022,,,,Briceni,0.0
2022,,,,Donduseni,0.0
2022,,,,Drochia,0.0
2022,,,,Edinet,0.0
2022,,,,Falesti,0.0
2022,,,,Floresti,0.0
2022,,,,Glodeni,0.0
2022,,,,Ocnita,0.0
2022,,,,Rascani,0.0
2022,,,,Sangerei,0.0
2022,,,,Soroca,0.0
2022,,,,Centre,0.0
2022,,,,Anenii Noi,0.0
2022,,,,Calarasi,0.0
2022,,,,Criuleni,0.0
2022,,,,Dubasari,0.0
2022,,,,Hancesti,0.0
2022,,,,Ialoveni,0.0
2022,,,,Nisporeni,0.0
2022,,,,Orhei,0.0
2022,,,,Rezina,0.0
2022,,,,Straseni,0.0
2022,,,,Soldanesti,0.0
2022,,,,Telenesti,0.0
2022,,,,Ungheni,0.0
2022,,,,South,0.0
2022,,,,Basarabeasca,0.0
2022,,,,Cahul,0.0
2022,,,,Cantemir,0.0
2022,,,,Causeni,0.0
2022,,,,Cimislia,0.0
2022,,,,Leova,0.0
2022,,,,Stefan Voda,0.0
2022,,,,Taraclia,0.0
2022,,,,ATU Gagauzia,0.0
2023,,,,,0.0
2023,Technogenic,,,,0.0
2023,Natural  (by genres),,,,0.0
2023,Social and biological,,,,0.0
2023,Fires,,,,0.0
2023,,0-17 years,,,0.0
2023,,18 years and over,,,0.0
2023,,,Men,,0.0
2023,,,Women,,0.0
2023,,,,Mun. Chisinau,0.0
2023,,,,North,0.0
2023,,,,mun. Balti,0.0
2023,,,,Briceni,0.0
2023,,,,Donduseni,0.0
2023,,,,Drochia,0.0
2023,,,,Edinet,0.0
2023,,,,Falesti,0.0
2023,,,,Floresti,0.0
2023,,,,Glodeni,0.0
2023,,,,Ocnita,0.0
2023,,,,Rascani,0.0
2023,,,,Sangerei,0.0
2023,,,,Soroca,0.0
2023,,,,Centre,0.0
2023,,,,Anenii Noi,0.0
2023,,,,Calarasi,0.0
2023,,,,Criuleni,0.0
2023,,,,Dubasari,0.0
2023,,,,Hancesti,0.0
2023,,,,Ialoveni,0.0
2023,,,,Nisporeni,0.0
2023,,,,Orhei,0.0
2023,,,,Rezina,0.0
2023,,,,Straseni,0.0
2023,,,,Soldanesti,0.0
2023,,,,Telenesti,0.0
2023,,,,Ungheni,0.0
2023,,,,South,0.0
2023,,,,Basarabeasca,0.0
2023,,,,Cahul,0.0
2023,,,,Cantemir,0.0
2023,,,,Causeni,0.0
2023,,,,Cimislia,0.0
2023,,,,Leova,0.0
2023,,,,Stefan Voda,0.0
2023,,,,Taraclia,0.0
2023,,,,ATU Gagauzia,0.0
2024,,,,,0.0
2024,Technogenic,,,,0.0
2024,Natural  (by genres),,,,0.0
2024,Social and biological,,,,0.0
2024,Fires,,,,0.0
2024,,0-17 years,,,0.0
2024,,18 years and over,,,0.0
2024,,,Men,,0.0
2024,,,Women,,0.0
2024,,,,Mun. Chisinau,0.0
2024,,,,North,0.0
2024,,,,mun. Balti,0.0
2024,,,,Briceni,0.0
2024,,,,Donduseni,0.0
2024,,,,Drochia,0.0
2024,,,,Edinet,0.0
2024,,,,Falesti,0.0
2024,,,,Floresti,0.0
2024,,,,Glodeni,0.0
2024,,,,Ocnita,0.0
2024,,,,Rascani,0.0
2024,,,,Sangerei,0.0
2024,,,,Soroca,0.0
2024,,,,Centre,0.0
2024,,,,Anenii Noi,0.0
2024,,,,Calarasi,0.0
2024,,,,Criuleni,0.0
2024,,,,Dubasari,0.0
2024,,,,Hancesti,0.0
2024,,,,Ialoveni,0.0
2024,,,,Nisporeni,0.0
2024,,,,Orhei,0.0
2024,,,,Rezina,0.0
2024,,,,Straseni,0.0
2024,,,,Soldanesti,0.0
2024,,,,Telenesti,0.0
2024,,,,Ungheni,0.0
2024,,,,South,0.0
2024,,,,Basarabeasca,0.0
2024,,,,Cahul,0.0
2024,,,,Cantemir,0.0
2024,,,,Causeni,0.0
2024,,,,Cimislia,0.0
2024,,,,Leova,0.0
2024,,,,Stefan Voda,0.0
2024,,,,Taraclia,0.0
2024,,,,ATU Gagauzia,0.0
