Year,Mediul de reședință,Sisteme de încălzire a locuințelor -,Sisteme de încălzire a locuințelor - urban,Sisteme de încălzire a locuințelor - rural,Pregătirea alimentelor -,Pregătirea alimentelor - urban,Pregătirea alimentelor - rural,Value
2019,,,,,,,,
2019,Urban,,,,,,,
2019,Rural,,,,,,,
2019,,Centralizat,,,,,,
2019,,"Gaz natural, electricitate",,,,,,
2019,,"Lemne, deșeuri și cărbune",,,,,,
2019,,,Centralizat,,,,,
2019,,,"Gaz natural, electricitate",,,,,
2019,,,"Lemne, deșeuri și cărbune",,,,,
2019,,,,Centralizat,,,,
2019,,,,"Gaz natural, electricitate",,,,
2019,,,,"Lemne, deșeuri și cărbune",,,,
2019,,,,,Gaz natural/gaz lichefiat,,,
2019,,,,,"Lemne, deșeuri și cărbune",,,
2019,,,,,Energie electrică,,,
2019,,,,,,Gaz natural/gaz lichefiat,,
2019,,,,,,"Lemne, deșeuri și cărbune",,
2019,,,,,,Energie electrică,,
2019,,,,,,,Gaz natural/gaz lichefiat,
2019,,,,,,,"Lemne, deșeuri și cărbune",
2019,,,,,,,Energie electrică,
2020,,,,,,,,
2020,Urban,,,,,,,
2020,Rural,,,,,,,
2020,,Centralizat,,,,,,
2020,,"Gaz natural, electricitate",,,,,,
2020,,"Lemne, deșeuri și cărbune",,,,,,
2020,,,Centralizat,,,,,
2020,,,"Gaz natural, electricitate",,,,,
2020,,,"Lemne, deșeuri și cărbune",,,,,
2020,,,,Centralizat,,,,
2020,,,,"Gaz natural, electricitate",,,,
2020,,,,"Lemne, deșeuri și cărbune",,,,
2020,,,,,Gaz natural/gaz lichefiat,,,
2020,,,,,"Lemne, deșeuri și cărbune",,,
2020,,,,,Energie electrică,,,
2020,,,,,,Gaz natural/gaz lichefiat,,
2020,,,,,,"Lemne, deșeuri și cărbune",,
2020,,,,,,Energie electrică,,
2020,,,,,,,Gaz natural/gaz lichefiat,
2020,,,,,,,"Lemne, deșeuri și cărbune",
2020,,,,,,,Energie electrică,
2021,,,,,,,,
2021,Urban,,,,,,,
2021,Rural,,,,,,,
2021,,Centralizat,,,,,,18.3
2021,,"Gaz natural, electricitate",,,,,,16.5
2021,,"Lemne, deșeuri și cărbune",,,,,,64.4
2021,,,Centralizat,,,,,46.0
2021,,,"Gaz natural, electricitate",,,,,33.2
2021,,,"Lemne, deșeuri și cărbune",,,,,18.8
2021,,,,Centralizat,,,,0.3
2021,,,,"Gaz natural, electricitate",,,,5.8
2021,,,,"Lemne, deșeuri și cărbune",,,,93.9
2021,,,,,Gaz natural/gaz lichefiat,,,95.8
2021,,,,,"Lemne, deșeuri și cărbune",,,2.8
2021,,,,,Energie electrică,,,1.4
2021,,,,,,Gaz natural/gaz lichefiat,,97.9
2021,,,,,,"Lemne, deșeuri și cărbune",,0.1
2021,,,,,,Energie electrică,,2.0
2021,,,,,,,Gaz natural/gaz lichefiat,94.4
2021,,,,,,,"Lemne, deșeuri și cărbune",4.5
2021,,,,,,,Energie electrică,1.1
