Year,Children engaged in economic activity - Age group / Sex,Children engaged in economic activity and household chores - Age group / Sex ,Value
2023,,5-17 / Men,
2023,,5-17 / Women,
2023,,5-11 / Both sexes,
2023,,5-11 / Men,
2023,,5-11 / Women,
2023,,12-14 / Both sexes,
2023,,12-14 / Men,
2023,,12-14 / Women,
2023,,15-17 / Both sexes,
2023,,15-17 / Men,
2023,,15-17 / Women,
2024,,,
2024,5-17 / Both sexes,,
2024,5-17 / Men,,
2024,5-17 / Women,,
2024,5-11 / Both sexes,,
2024,5-11 / Men,,
2024,5-11 / Women,,
2024,12-14 / Both sexes,,
2024,12-14 / Men,,
2024,12-14 / Women,,
2024,15-17 / Both sexes,,
2024,15-17 / Men,,
2024,15-17 / Women,,
2024,,5-17 / Both sexes,
2024,,5-17 / Men,
2024,,5-17 / Women,
2024,,5-11 / Both sexes,
2024,,5-11 / Men,
2024,,5-11 / Women,
2024,,12-14 / Both sexes,
2024,,12-14 / Men,
2024,,12-14 / Women,
2024,,15-17 / Both sexes,
2024,,15-17 / Men,
2024,,15-17 / Women,
2025,,,11.833
2025,5-17 / Both sexes,,11.833
2025,5-17 / Men,,13.275
2025,5-17 / Women,,10.309
2025,5-11 / Both sexes,,20.369
2025,5-11 / Men,,22.757
2025,5-11 / Women,,17.86
2025,12-14 / Both sexes,,1.352
2025,12-14 / Men,,1.284
2025,12-14 / Women,,1.422
2025,15-17 / Both sexes,,0.804
2025,15-17 / Men,,1.541
2025,15-17 / Women,,
2025,,5-17 / Both sexes,13.252
2025,,5-17 / Men,13.864
2025,,5-17 / Women,12.606
2025,,5-11 / Both sexes,20.656
2025,,5-11 / Men,22.89
2025,,5-11 / Women,18.308
2025,,12-14 / Both sexes,6.81
2025,,12-14 / Men,3.532
2025,,12-14 / Women,10.211
2025,,15-17 / Both sexes,0.804
2025,,15-17 / Men,1.541
2025,,15-17 / Women,
