Year,Clase SE,Grupa de vârstă,Sex,Districts,Value
2022,,,,Criuleni,
2022,,,,Dubasari,
2022,,,,Hancesti,
2022,,,,Ialoveni,
2022,,,,Nisporeni,
2022,,,,Orhei,
2022,,,,Rezina,
2022,,,,Straseni,
2022,,,,Soldanesti,
2022,,,,Telenesti,
2022,,,,Ungheni,
2022,,,,Sud,
2022,,,,Basarabeasca,
2022,,,,Cahul,
2022,,,,Cantemir,
2022,,,,Causeni,
2022,,,,Cimislia,
2022,,,,Leova,
2022,,,,Stefan Voda,
2022,,,,Taraclia,
2022,,,,UTA Găgăuzia,
