Year,Mediu de reședință,Educational level,Wealth quintiles ,Grupa de vârstă,Statut ocupațional,Starea civilă,Value
2024,,,V,,,,
2024,,,,15-19,,,
2024,,,,20-24,,,
2024,,,,25-29,,,
2024,,,,30-34,,,
2024,,,,35-39,,,
2024,,,,40-44,,,
2024,,,,45-49,,,
2024,,,,,Salariată,,
2024,,,,,Self-employed ,,
2024,,,,,Pensionară,,
2024,,,,,Șomeră,,
2024,,,,,Alt statut,,
2024,,,,,,Căsătorită,
2024,,,,,,Concubinaj,
